State,"Total Energy Production, Trillion Btu","Production, Rank","Consumption per Capita, Million Btu","Consumption per Capita, Rank","Expenditures per Capita, Dollars","Expenditures per Capita, Rank"
WY,5884,3,874,3,6703,1
TX,23329,1,461,6,3703,10
AK,1349,13,874,2,6429,2
PA,9492,2,263,30,2890,36
ND,4275,7,804,4,6223,3
LA,3838,8,903,1,5210,4
WV,5020,4,449,7,3759,9
SD,268,37,447,8,4187,5
NM,4674,5,330,18,3207,24
MT,757,22,395,11,4052,6
OK,4546,6,399,10,3308,20
IA,930,16,479,5,3981,7
NE,417,34,440,9,3894,8
CO,3775,9,251,34,2671,44
OH,3187,10,289,24,2968,32
AL,1206,14,366,13,3696,11
CA,2190,11,175,48,2898,34
VT,37,47,196,44,3619,12
IL,2160,12,283,25,2668,45
ME,133,44,268,28,3586,13
IN,710,26,378,12,3579,14
MS,268,38,351,16,3578,15
WA,970,15,231,37,2582,48
KS,760,21,364,14,3496,16
KY,756,23,354,15,3443,17
NY,839,17,166,49,2380,51
AR,782,20,344,17,3442,18
VA,822,18,263,29,2963,33
NH,149,43,215,39,3354,19
UT,789,19,253,33,2654,46
SC,732,24,299,20,3247,21
HI,28,48,160,51,3234,22
ID,152,42,298,21,3220,23
CT,201,41,185,46,3205,25
NC,723,25,236,35,2748,42
DE,4,50,279,26,3179,26
WI,303,36,290,23,3139,27
GA,656,27,254,32,2892,35
TN,591,29,295,22,3093,28
MI,635,28,259,31,2888,37
MN,505,31,303,19,3092,29
MO,225,40,277,27,3069,30
FL,575,30,186,45,2385,50
MA,74,46,182,47,2977,31
AZ,482,32,210,40,2834,40
OR,454,33,232,36,2845,39
NJ,331,35,204,42,2675,43
RI,11,49,160,50,2865,38
MD,232,39,197,43,2584,47
NV,116,45,228,38,2819,41
DC,2,51,208,41,2555,49
